Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,9.837300,9.874260,9.832600,9.839300,9.839300,0
2018-02-08,9.913660,9.964500,9.883040,9.911400,9.911400,0
2018-02-09,9.938540,9.999670,9.901000,9.936560,9.936560,0
2018-02-12,9.911620,9.936960,9.902000,9.911310,9.911310,0
2018-02-13,9.910540,9.948720,9.904400,9.908400,9.908400,0
2018-02-14,9.910000,9.963380,9.884960,9.913620,9.913620,0
2018-02-15,9.901990,9.947170,9.889890,9.903070,9.903070,0
2018-02-16,9.910400,9.927490,9.883600,9.912500,9.912500,0
2018-02-19,9.883870,9.917670,9.874190,9.884390,9.884390,0
2018-02-20,9.907930,9.991850,9.903700,9.908030,9.908030,0
2018-02-21,9.989400,9.994710,9.958600,9.987440,9.987440,0
2018-02-22,9.971250,10.017450,9.968400,9.972400,9.972400,0
2018-02-23,10.009290,10.065650,9.995100,10.007300,10.007300,0
2018-02-26,10.049630,10.053670,10.016700,10.049410,10.049410,0
2018-02-27,10.040610,10.091040,10.033700,10.040440,10.040440,0
2018-02-28,10.057310,10.131400,10.053800,10.058730,10.058730,0
2018-03-01,10.107990,10.119240,10.080300,10.106100,10.106100,0
2018-03-02,10.116650,10.199910,10.111500,10.115650,10.115650,0
2018-03-05,10.159700,10.189630,10.143600,10.157260,10.157260,0
2018-03-06,10.191000,10.208200,10.177500,10.187100,10.187100,0
2018-03-07,10.190460,10.245400,10.182800,10.188710,10.188710,0
2018-03-08,10.210400,10.232500,10.181630,10.213200,10.213200,0
2018-03-09,10.180700,10.181770,10.138200,10.173400,10.173400,0
2018-03-12,10.141400,10.165560,10.133100,10.144970,10.144970,0
2018-03-13,10.162910,10.167400,10.134000,10.162870,10.162870,0
2018-03-14,10.178810,10.181700,10.116600,10.178050,10.178050,0
2018-03-15,10.123280,10.126000,10.075340,10.123210,10.123210,0
2018-03-16,10.068890,10.092160,10.053100,10.068110,10.068110,0
2018-03-19,10.061940,10.097780,10.058800,10.060500,10.060500,0
2018-03-20,10.070750,10.087510,10.050000,10.070820,10.070820,0
2018-03-21,10.058800,10.093480,10.052500,10.059700,10.059700,0
2018-03-22,10.108350,10.152900,10.092900,10.107100,10.107100,0
2018-03-23,10.157000,10.212480,10.148500,10.157000,10.157000,0
2018-03-26,10.179900,10.205020,10.150900,10.182760,10.182760,0
2018-03-27,10.193790,10.218950,10.182800,10.189700,10.189700,0
2018-03-28,10.206740,10.294940,10.205200,10.204440,10.204440,0
2018-03-29,10.284110,10.327670,10.271700,10.284180,10.284180,0
2018-03-30,10.280450,10.290600,10.253710,10.278700,10.278700,0
2018-04-02,10.281700,10.317980,10.266900,10.280200,10.280200,0
2018-04-03,10.321000,10.345960,10.269000,10.321100,10.321100,0
2018-04-04,10.298650,10.348410,10.281770,10.298420,10.298420,0
2018-04-05,10.310000,10.327010,10.285700,10.308700,10.308700,0
2018-04-06,10.319770,10.331510,10.281800,10.318100,10.318100,0
2018-04-09,10.296900,10.306450,10.276000,10.298490,10.298490,0
2018-04-10,10.297700,10.306690,10.251900,10.298380,10.298380,0
2018-04-11,10.258260,10.314000,10.254100,10.255300,10.255300,0
2018-04-12,10.294500,10.398550,10.290300,10.295200,10.295200,0
2018-04-13,10.364990,10.422290,10.357200,10.363490,10.363490,0
2018-04-16,10.448910,10.468120,10.394000,10.445800,10.445800,0
2018-04-17,10.419250,10.442340,10.382600,10.418920,10.418920,0
2018-04-18,10.393950,10.407420,10.376000,10.391300,10.391300,0
2018-04-19,10.397350,10.403840,10.357430,10.397300,10.397300,0
2018-04-20,10.376750,10.388100,10.365500,10.375760,10.375760,0
2018-04-23,10.375790,10.398300,10.367800,10.373500,10.373500,0
2018-04-24,10.398190,10.410000,10.367400,10.398380,10.398380,0
2018-04-25,10.411020,10.435220,10.399000,10.410920,10.410920,0
2018-04-26,10.412960,10.491730,10.370830,10.412980,10.412980,0
2018-04-27,10.480170,10.545380,10.466500,10.477300,10.477300,0
2018-04-30,10.511150,10.582640,10.492200,10.509500,10.509500,0
2018-05-01,10.564580,10.658390,10.554900,10.561900,10.561900,0
2018-05-02,10.600100,10.678960,10.590090,10.601590,10.601590,0
2018-05-03,10.655330,10.671490,10.579600,10.656160,10.656160,0
2018-05-04,10.560000,10.575380,10.512400,10.560020,10.560020,0
2018-05-07,10.534300,10.567090,10.495700,10.535860,10.535860,0
2018-05-08,10.534170,10.546210,10.437400,10.533900,10.533900,0
2018-05-09,10.451200,10.473510,10.311500,10.452400,10.452400,0
2018-05-10,10.313700,10.326850,10.270150,10.314100,10.314100,0
2018-05-11,10.298500,10.306620,10.244120,10.299500,10.299500,0
2018-05-14,10.261960,10.308470,10.255800,10.262530,10.262530,0
2018-05-15,10.303300,10.355960,10.264850,10.306260,10.306260,0
2018-05-16,10.278900,10.336790,10.262500,10.278680,10.278680,0
2018-05-17,10.270200,10.318520,10.260000,10.268900,10.268900,0
2018-05-18,10.305250,10.321600,10.288300,10.305490,10.305490,0
2018-05-21,10.307020,10.307020,10.228800,10.302600,10.302600,0
2018-05-22,10.225520,10.241100,10.196000,10.225910,10.225910,0
2018-05-23,10.234090,10.292580,10.224300,10.233400,10.233400,0
2018-05-24,10.242300,10.281650,10.233000,10.242330,10.242330,0
2018-05-25,10.272820,10.274430,10.163610,10.267260,10.267260,0
2018-05-28,10.214000,10.247710,10.204000,10.212960,10.212960,0
2018-05-29,10.258000,10.346240,10.248800,10.257300,10.257300,0
2018-05-30,10.348900,10.358300,10.252960,10.344300,10.344300,0
2018-05-31,10.277380,10.319170,10.241600,10.280020,10.280020,0
2018-06-01,10.303450,10.314000,10.268900,10.303980,10.303980,0
2018-06-04,10.287360,10.302000,10.232800,10.285700,10.285700,0
2018-06-05,10.243610,10.254550,10.215700,10.239500,10.239500,0
2018-06-06,10.248860,10.289830,10.232400,10.246200,10.246200,0
2018-06-07,10.280920,10.284550,10.231700,10.277700,10.277700,0
